Eurovision Song Contest 2016 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Greece,Cyprus,4,2,4,5,1,3,1,8,12
Greece,Austria,15,11,3,13,5,9,6,2,5
Greece,Estonia,11,15,10,4,12,12,14,"
","
"
Greece,Azerbaijan,6,8,8,7,7,6,12,5,"
"
Greece,Montenegro,7,6,6,8,6,5,17,6,"
"
Greece,Iceland,12,14,11,16,11,13,15,"
","
"
Greece,Bosnia & Herzegovina,13,12,12,17,16,15,13,"
","
"
Greece,Malta,8,7,5,9,9,7,10,4,1
Hungary,Finland,9,8,12,4,2,7,10,4,1
Hungary,Greece,12,16,13,13,6,14,16,"
","
"
Hungary,Moldova,6,12,16,16,7,13,15,"
","
"
Hungary,Croatia,5,9,8,6,11,8,12,3,"
"
Hungary,The Netherlands,7,4,7,8,8,5,5,6,6
Hungary,Armenia,8,2,9,3,12,6,9,5,2
Hungary,San Marino,17,17,17,17,17,17,6,"
",5
Hungary,Russia,4,3,5,2,5,2,2,10,10
Hungary,Czech Republic,3,5,4,7,1,3,8,8,3
Hungary,Cyprus,10,7,6,14,13,9,4,2,7
Hungary,Austria,15,13,15,5,9,12,3,"
",8
Hungary,Estonia,11,15,10,12,4,11,11,"
","
"
Hungary,Azerbaijan,1,6,1,11,3,4,1,7,12
Hungary,Montenegro,13,14,14,15,16,16,17,"
","
"
Hungary,Iceland,14,10,3,10,14,10,13,1,"
"
Hungary,Bosnia & Herzegovina,16,11,11,9,15,15,14,"
","
"
Hungary,Malta,2,1,2,1,10,1,7,12,4
Iceland,Finland,15,10,6,16,13,15,9,"
",2
Iceland,Greece,16,12,7,8,16,14,16,"
","
"
Iceland,Moldova,11,6,12,9,15,12,11,"
","
"
Iceland,Hungary,12,16,3,11,7,9,5,2,6
Iceland,Croatia,8,5,10,1,2,4,12,7,"
"
Iceland,The Netherlands,2,1,2,3,1,1,2,12,10
Iceland,Armenia,7,7,5,7,12,6,8,5,3
Iceland,San Marino,6,3,15,14,14,11,10,"
",1
Iceland,Russia,1,2,1,5,10,2,1,10,12
Iceland,Czech Republic,3,4,4,4,9,3,13,8,"
"
Iceland,Cyprus,9,13,9,12,8,10,6,1,5
Iceland,Austria,10,8,8,2,11,7,3,4,8
Iceland,Estonia,13,17,11,13,4,13,14,"
","
"
Iceland,Azerbaijan,5,11,14,10,6,8,4,3,7
Iceland,Montenegro,14,14,16,17,3,16,17,"
","
"
Iceland,Bosnia & Herzegovina,17,15,17,15,17,17,15,"
","
"
Iceland,Malta,4,9,13,6,5,5,7,6,4
Malta,Finland,11,8,9,4,7,6,13,5,"
"
Malta,Greece,5,7,16,17,8,11,16,"
","
"
Malta,Moldova,10,13,6,8,5,7,11,4,"
"
Malta,Hungary,13,9,13,10,13,13,3,"
",8
Malta,Croatia,15,17,14,14,9,17,12,"
","
"
Malta,The Netherlands,16,12,4,13,14,14,4,"
",7
Malta,Armenia,2,1,1,2,1,1,7,12,4
Malta,San Marino,9,3,7,5,12,5,6,6,5
Malta,Russia,1,2,3,1,3,2,1,10,12
Malta,Czech Republic,12,6,11,6,11,8,9,3,2
Malta,Cyprus,8,14,2,3,2,3,5,8,6
Malta,Austria,7,11,10,7,17,10,10,1,1
Malta,Estonia,6,16,8,9,10,9,14,2,"
"
Malta,Azerbaijan,14,15,12,16,6,15,2,"
",10
Malta,Montenegro,4,5,5,12,4,4,17,7,"
"
Malta,Iceland,3,10,15,15,15,12,8,"
",3
Malta,Bosnia & Herzegovina,17,4,17,11,16,16,15,"
","
"
Moldova,Finland,11,15,12,10,13,14,13,"
","
"
Moldova,Greece,15,14,14,11,16,15,14,"
","
"
Moldova,Hungary,5,6,13,5,4,8,5,3,6
Moldova,Croatia,9,8,8,1,6,6,9,5,2
Moldova,The Netherlands,10,2,2,7,12,7,11,4,"
"
