Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Malta,Lithuania,6,11,4,9,8,7,10,7,4
Malta,Ireland,9,13,14,11,16,12,12,13,"
"
Malta,San Marino,16,12,9,8,7,10,13,11,"
"
Malta,Montenegro,12,9,15,14,15,14,14,15,"
"
Malta,Norway,5,1,5,5,10,5,6,6,5
Malta,Portugal,13,8,6,10,9,9,16,14,"
"
Malta,Czech Republic,11,7,13,13,14,11,9,10,1
Malta,Israel,4,5,3,3,5,4,2,2,10
Malta,Latvia,3,3,2,4,6,3,7,4,7
Malta,Azerbaijan,2,2,7,2,1,2,4,3,8
Malta,Iceland,14,15,16,16,11,16,8,12,"
"
Malta,Sweden,1,4,1,1,2,1,1,1,12
Malta,Switzerland,10,16,12,15,13,15,15,16,"
"
Malta,Cyprus,15,14,11,12,12,13,5,9,2
Malta,Slovenia,7,6,8,7,3,6,11,8,3
Malta,Poland,8,10,10,6,4,8,3,5,6
Montenegro,Lithuania,13,12,13,11,11,11,"
",11,"
"
Montenegro,Ireland,9,9,9,9,10,9,"
",9,2
Montenegro,San Marino,6,7,6,6,8,6,"
",6,5
Montenegro,Malta,2,1,2,2,3,2,"
",2,10
Montenegro,Norway,5,5,5,4,5,5,"
",5,6
Montenegro,Portugal,7,6,7,7,6,7,"
",7,4
Montenegro,Czech Republic,10,10,10,10,16,10,"
",10,1
Montenegro,Israel,8,8,8,8,7,8,"
",8,3
Montenegro,Latvia,12,13,11,14,14,13,"
",13,"
"
Montenegro,Azerbaijan,4,4,4,5,4,4,"
",4,7
Montenegro,Iceland,16,16,15,16,9,15,"
",15,"
"
Montenegro,Sweden,3,3,1,3,2,3,"
",3,8
Montenegro,Switzerland,14,14,12,15,13,14,"
",14,"
"
Montenegro,Cyprus,15,15,16,13,15,16,"
",16,"
"
Montenegro,Slovenia,1,2,3,1,1,1,"
",1,12
Montenegro,Poland,11,11,14,12,12,12,"
",12,"
"
Norway,Lithuania,7,4,5,5,4,4,1,2,10
Norway,Ireland,1,11,12,4,9,8,14,11,"
"
Norway,San Marino,16,13,16,15,13,16,15,16,"
"
Norway,Montenegro,15,8,10,10,7,9,9,8,3
Norway,Malta,6,5,7,6,8,6,16,12,"
"
Norway,Portugal,5,16,9,12,10,11,13,14,"
"
Norway,Czech Republic,13,10,13,14,16,14,10,13,"
"
Norway,Israel,14,2,2,3,2,3,4,3,8
Norway,Latvia,2,3,3,2,6,2,5,4,7
Norway,Azerbaijan,12,9,15,11,11,13,12,15,"
"
Norway,Iceland,11,15,14,16,15,15,6,9,2
Norway,Sweden,4,1,1,1,1,1,2,1,12
Norway,Switzerland,9,12,8,8,14,10,11,10,1
